JobNumber,Dimension,npara,ntrain,FeatureType,Activation,ValLoss
250207001,2D,NaN,1000,ftb_catonlytGIF,tanh01,0.00325
250207002,2D,NaN,1000,fta_noFE,tanh01,0.00361
250207003,2D,NaN,1000,ftd_fullreci,tanh01,0.00278
250207004,2D,NaN,1000,ftc_twithreciGIF,tanh01,0.00298
250207005,2D,NaN,1000,ftd_fullreci,relu,0.00435
250207006,2D,NaN,1000,ftc_twithreciGIF,relu,0.00836
250207007,2D,NaN,1000,ftb_catonlytGIF,relu,0.00488
250207008,2D,NaN,1000,fta_noFE,relu,0.01393
250207009,2D,NaN,2000,ftb_catonlytGIF,tanh01,0.002
250207010,2D,NaN,2000,fta_noFE,tanh01,0.00204
250207011,2D,NaN,2000,ftd_fullreci,tanh01,0.00164
250207012,2D,NaN,2000,ftc_twithreciGIF,tanh01,0.00179
250207013,2D,NaN,2000,ftd_fullreci,relu,0.00243
250207014,2D,NaN,2000,ftc_twithreciGIF,relu,0.0031
250207015,2D,NaN,2000,ftb_catonlytGIF,relu,0.00389
250207016,2D,NaN,2000,fta_noFE,relu,0.0034
250207017,2D,NaN,4000,ftb_catonlytGIF,tanh01,0.00134
250207018,2D,NaN,4000,fta_noFE,tanh01,0.0013
250207019,2D,NaN,4000,ftd_fullreci,tanh01,0.00117
250207020,2D,NaN,4000,ftc_twithreciGIF,tanh01,0.00118
250207021,2D,NaN,4000,ftd_fullreci,relu,0.04147
250207022,2D,NaN,4000,ftc_twithreciGIF,relu,0.00186
250207023,2D,NaN,4000,ftb_catonlytGIF,relu,0.04196
250207024,2D,NaN,4000,fta_noFE,relu,0.04213
250207025,2D,NaN,8000,ftb_catonlytGIF,tanh01,0.00071
250207026,2D,NaN,8000,fta_noFE,tanh01,0.00072
250207027,2D,NaN,8000,ftd_fullreci,tanh01,0.00061
250207028,2D,NaN,8000,ftc_twithreciGIF,tanh01,0.00067
250207029,2D,NaN,8000,ftd_fullreci,relu,0.0009
250207030,2D,NaN,8000,ftc_twithreciGIF,relu,0.00532
250207031,2D,NaN,8000,ftb_catonlytGIF,relu,0.00125
250207032,2D,NaN,8000,fta_noFE,relu,0.00113
250207033,3D,6,1000,ftc_twithreciGIF,relu,0.00497
250207034,3D,6,1000,ftc_twithreciGIF,tanh01,0.00345
250207035,3D,6,1000,ftb_catonlytGIF,relu,0.00515
250207036,3D,6,1000,ftb_catonlytGIF,tanh01,0.00341
250207037,3D,6,1000,fta_noFE,relu,0.0209
250207038,3D,6,1000,fta_noFE,tanh01,0.00365
250207039,3D,6,1000,ftd_fullreci,relu,0.01643
250207040,3D,6,1000,ftd_fullreci,tanh01,0.00339
250207041,3D,6,2000,ftc_twithreciGIF,relu,0.00305
250207042,3D,6,2000,ftc_twithreciGIF,tanh01,0.00206
250207043,3D,6,2000,ftb_catonlytGIF,relu,0.00316
250207044,3D,6,2000,ftb_catonlytGIF,tanh01,0.00206
250207045,3D,6,2000,fta_noFE,relu,0.01315
250207046,3D,6,2000,fta_noFE,tanh01,0.00219
250207047,3D,6,2000,ftd_fullreci,relu,0.00294
250207048,3D,6,2000,ftd_fullreci,tanh01,0.002
250207049,3D,6,4000,ftc_twithreciGIF,relu,0.0021
250207050,3D,6,4000,ftc_twithreciGIF,tanh01,0.00147
250207051,3D,6,4000,ftb_catonlytGIF,relu,0.00231
250207052,3D,6,4000,ftb_catonlytGIF,tanh01,0.00151
250207053,3D,6,4000,fta_noFE,relu,0.00244
250207054,3D,6,4000,fta_noFE,tanh01,0.0016
250207055,3D,6,4000,ftd_fullreci,relu,0.00198
250207056,3D,6,4000,ftd_fullreci,tanh01,0.00143
250207057,3D,6,8000,ftc_twithreciGIF,relu,0.00105
250207058,3D,6,8000,ftc_twithreciGIF,tanh01,0.00077
250207059,3D,6,8000,ftb_catonlytGIF,relu,0.00106
250207060,3D,6,8000,ftb_catonlytGIF,tanh01,0.00078
250207061,3D,6,8000,fta_noFE,relu,0.00119
250207062,3D,6,8000,fta_noFE,tanh01,0.00082
250207063,3D,6,8000,ftd_fullreci,relu,0.001
250207064,3D,6,8000,ftd_fullreci,tanh01,0.00075
